From,To,Type,SourceFile
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel.LastAdaptation","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel.LastRetraining","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel.AdaptationCount","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel.SampleCount","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel.PendingWeightAdjustments","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel.TrainingBuffer","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel","ALARM.Analyzers.SuggestionValidation.AdaptiveLearningModel.TrainedModel","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveTrainingPoint","ALARM.Analyzers.SuggestionValidation.AdaptiveTrainingPoint.SuggestionText","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveTrainingPoint","ALARM.Analyzers.SuggestionValidation.AdaptiveTrainingPoint.Context","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveTrainingPoint","ALARM.Analyzers.SuggestionValidation.AdaptiveTrainingPoint.ActualScore","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveTrainingPoint","ALARM.Analyzers.SuggestionValidation.AdaptiveTrainingPoint.ValidatorScores","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
"ALARM.Analyzers.SuggestionValidation.AdaptiveTrainingPoint","ALARM.Analyzers.SuggestionValidation.AdaptiveTrainingPoint.Timestamp","PropertyAccess","C:\Users\kidsg\Downloads\ALARM\tools\analyzers\SuggestionValidation\AdaptiveLearningModels.cs"
