From,To,Type,SourceFile
"C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs","Adds","Using","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.DrawBoxGTC","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.DrawPolylineFromSeed","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.DrawPolylineFromFile1","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.DrawPolyline_Old","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.DrawPanel","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.CheckPolylineVertices","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.FixVertices","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.TestWriteLines","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.ReadVerticesToFile","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.ReadMultFromFiles","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.RemoveVerticesPickTwoPoints","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.JoinPloylines","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.GetLineInfoFromStomp","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
"Adds.AcadLine","Adds.AcadLine.DrawPanelFeeders","MethodCall","C:\Users\kidsg\Downloads\Documentation\ADDS Original Files\19.0\Adds\acadline.cs"
